ID State,State,ID Year,Year,Population,Slug State
04000US01,Alabama,2021,2021,4997675,alabama
04000US02,Alaska,2021,2021,735951,alaska
04000US04,Arizona,2021,2021,7079203,arizona
04000US05,Arkansas,2021,2021,3006309,arkansas
04000US06,California,2021,2021,39455353,california
04000US08,Colorado,2021,2021,5723176,colorado
04000US09,Connecticut,2021,2021,3605330,connecticut
04000US10,Delaware,2021,2021,981892,delaware
04000US11,District of Columbia,2021,2021,683154,district-of-columbia
04000US12,Florida,2021,2021,21339762,florida
04000US13,Georgia,2021,2021,10625615,georgia
04000US15,Hawaii,2021,2021,1453498,hawaii
04000US16,Idaho,2021,2021,1811617,idaho
04000US17,Illinois,2021,2021,12821813,illinois
04000US18,Indiana,2021,2021,6751340,indiana
04000US19,Iowa,2021,2021,3179090,iowa
04000US20,Kansas,2021,2021,2932099,kansas
04000US21,Kentucky,2021,2021,4494141,kentucky
04000US22,Louisiana,2021,2021,4657305,louisiana
04000US23,Maine,2021,2021,1357046,maine
04000US24,Maryland,2021,2021,6148545,maryland
04000US25,Massachusetts,2021,2021,6991852,massachusetts
04000US26,Michigan,2021,2021,10062512,michigan
04000US27,Minnesota,2021,2021,5670472,minnesota
04000US28,Mississippi,2021,2021,2967023,mississippi
04000US29,Missouri,2021,2021,6141534,missouri
04000US30,Montana,2021,2021,1077978,montana
04000US31,Nebraska,2021,2021,1951480,nebraska
04000US32,Nevada,2021,2021,3059238,nevada
04000US33,New Hampshire,2021,2021,1372175,new-hampshire
04000US34,New Jersey,2021,2021,9234024,new-jersey
04000US35,New Mexico,2021,2021,2109366,new-mexico
04000US36,New York,2021,2021,20114745,new-york
04000US37,North Carolina,2021,2021,10367022,north-carolina
04000US38,North Dakota,2021,2021,773344,north-dakota
04000US39,Ohio,2021,2021,11769923,ohio
04000US40,Oklahoma,2021,2021,3948136,oklahoma
04000US41,Oregon,2021,2021,4207177,oregon
04000US42,Pennsylvania,2021,2021,12970650,pennsylvania
04000US44,Rhode Island,2021,2021,1091949,rhode-island
04000US45,South Carolina,2021,2021,5078903,south-carolina
04000US46,South Dakota,2021,2021,881785,south-dakota
04000US47,Tennessee,2021,2021,6859497,tennessee
04000US48,Texas,2021,2021,28862581,texas
04000US49,Utah,2021,2021,3231370,utah
04000US50,Vermont,2021,2021,641637,vermont
04000US51,Virginia,2021,2021,8582479,virginia
04000US53,Washington,2021,2021,7617364,washington
04000US54,West Virginia,2021,2021,1801049,west-virginia
04000US55,Wisconsin,2021,2021,5871661,wisconsin
04000US56,Wyoming,2021,2021,576641,wyoming
04000US72,Puerto Rico,2021,2021,3311274,puerto-rico
